Campaign,Ad Group,Labels,Keyword,Criterion Type,Max CPC,Max CPM,Max CPV,First page bid,Top of page bid,First position bid,Quality score,Landing page experience,Expected CTR,Ad relevance,Final URL,Final mobile URL,Tracking template,Final URL suffix,Custom parameters,Campaign Status,Ad Group Status,Status,Approval Status,Comment
BioEmblem Non-Brand Products,Vitamin D3+K2,,"""vitamin d3 k2""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-d3-k2,,,,,,,,,
BioEmblem Non-Brand Products,Vitamin D3+K2,,vitamin d3 k2,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-d3-k2,,,,,,,,,
BioEmblem Non-Brand Products,Vitamin D3+K2,,"""vitamin d3 k2 supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-d3-k2,,,,,,,,,
BioEmblem Non-Brand Products,Vitamin D3+K2,,vitamin d3 k2 supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-d3-k2,,,,,,,,,
BioEmblem Non-Brand Products,Vitamin D3+K2,,"""vitamin d3 k2 benefits""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-d3-k2,,,,,,,,,
BioEmblem Non-Brand Products,Vitamin D3+K2,,vitamin d3 k2 benefits,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-d3-k2,,,,,,,,,
BioEmblem Non-Brand Products,Vitamin D3+K2,,"""best vitamin d3 k2""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-d3-k2,,,,,,,,,
BioEmblem Non-Brand Products,Vitamin D3+K2,,best vitamin d3 k2,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-d3-k2,,,,,,,,,
BioEmblem Non-Brand Products,Vitamin D3+K2,,"""vitamin d3 k2 complex""",Exact,,,,,,,,,,,https://bioemblem.com/products/vitamin-d3-k2,,,,,,,,,
BioEmblem Non-Brand Products,Vitamin D3+K2,,vitamin d3 k2 complex,Broad,,,,,,,,,,,https://bioemblem.com/products/vitamin-d3-k2,,,,,,,,,
BioEmblem Non-Brand Products,Turmeric Curcumin,,"""turmeric supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/turmeric-curcumin,,,,,,,,,
BioEmblem Non-Brand Products,Turmeric Curcumin,,turmeric supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/turmeric-curcumin,,,,,,,,,
BioEmblem Non-Brand Products,Turmeric Curcumin,,"""turmeric curcumin""",Exact,,,,,,,,,,,https://bioemblem.com/products/turmeric-curcumin,,,,,,,,,
BioEmblem Non-Brand Products,Turmeric Curcumin,,turmeric curcumin,Broad,,,,,,,,,,,https://bioemblem.com/products/turmeric-curcumin,,,,,,,,,
BioEmblem Non-Brand Products,Turmeric Curcumin,,"""turmeric for inflammation""",Exact,,,,,,,,,,,https://bioemblem.com/products/turmeric-curcumin,,,,,,,,,
BioEmblem Non-Brand Products,Turmeric Curcumin,,turmeric for inflammation,Broad,,,,,,,,,,,https://bioemblem.com/products/turmeric-curcumin,,,,,,,,,
BioEmblem Non-Brand Products,Turmeric Curcumin,,"""best turmeric supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/turmeric-curcumin,,,,,,,,,
BioEmblem Non-Brand Products,Turmeric Curcumin,,best turmeric supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/turmeric-curcumin,,,,,,,,,
BioEmblem Non-Brand Products,TurmiPure Gold,,"""turmipure gold""",Exact,,,,,,,,,,,https://bioemblem.com/products/turmipure-gold,,,,,,,,,
BioEmblem Non-Brand Products,TurmiPure Gold,,turmipure gold,Broad,,,,,,,,,,,https://bioemblem.com/products/turmipure-gold,,,,,,,,,
BioEmblem Non-Brand Products,TurmiPure Gold,,"""turmeric curcumin extract""",Exact,,,,,,,,,,,https://bioemblem.com/products/turmipure-gold,,,,,,,,,
BioEmblem Non-Brand Products,TurmiPure Gold,,turmeric curcumin extract,Broad,,,,,,,,,,,https://bioemblem.com/products/turmipure-gold,,,,,,,,,
BioEmblem Non-Brand Products,TurmiPure Gold,,"""patented turmeric extract""",Exact,,,,,,,,,,,https://bioemblem.com/products/turmipure-gold,,,,,,,,,
BioEmblem Non-Brand Products,TurmiPure Gold,,patented turmeric extract,Broad,,,,,,,,,,,https://bioemblem.com/products/turmipure-gold,,,,,,,,,
BioEmblem Non-Brand Products,TurmiPure Gold,,"""turmeric 24x absorption""",Exact,,,,,,,,,,,https://bioemblem.com/products/turmipure-gold,,,,,,,,,
BioEmblem Non-Brand Products,TurmiPure Gold,,turmeric 24x absorption,Broad,,,,,,,,,,,https://bioemblem.com/products/turmipure-gold,,,,,,,,,
