Campaign,Ad Group,Labels,Keyword,Criterion Type,Max CPC,Max CPM,Max CPV,First page bid,Top of page bid,First position bid,Quality score,Landing page experience,Expected CTR,Ad relevance,Final URL,Final mobile URL,Tracking template,Final URL suffix,Custom parameters,Campaign Status,Ad Group Status,Status,Approval Status,Comment
BioEmblem Non-Brand Products,Creatine Monohydrate,,"""creatine monohydrate""",Exact,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,creatine monohydrate,Broad,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,"""vegan creatine""",Exact,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,vegan creatine,Broad,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,"""creatine supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,creatine supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,"""pure creatine monohydrate""",Exact,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,pure creatine monohydrate,Broad,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,"""creatine powder""",Exact,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,creatine powder,Broad,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,"""micronized creatine""",Exact,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,micronized creatine,Broad,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,"""creatine for muscle growth""",Exact,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,Creatine Monohydrate,,creatine for muscle growth,Broad,,,,,,,,,,,https://bioemblem.com/products/creatine-monohydrate,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,"""nad supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,nad supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,"""nicotinamide riboside""",Exact,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,nicotinamide riboside,Broad,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,"""nad+ booster""",Exact,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,nad+ booster,Broad,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,"""cellular energy supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,cellular energy supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,"""anti aging supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,anti aging supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,"""nad with resveratrol""",Exact,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,NAD+ Supplement,,nad with resveratrol,Broad,,,,,,,,,,,https://bioemblem.com/products/nad-supplement,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,"""sleep supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,sleep supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,"""natural sleep aid""",Exact,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,natural sleep aid,Broad,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,"""sleep support supplement""",Exact,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,sleep support supplement,Broad,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,"""non habit forming sleep aid""",Exact,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,non habit forming sleep aid,Broad,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,"""herbal sleep formula""",Exact,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,herbal sleep formula,Broad,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,"""sleep support with magnesium""",Exact,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
BioEmblem Non-Brand Products,Sleep Support,,sleep support with magnesium,Broad,,,,,,,,,,,https://bioemblem.com/products/sleep-support,,,,,,,,,
